game_id,game_date,home_team,away_team,home_lineup_quality_score,away_lineup_quality_score,lineup_quality_diff,home_top3_available,away_top3_available,home_projected_lineup_available,away_projected_lineup_available,home_confirmed_lineup_available,away_confirmed_lineup_available,lineup_confidence_grade,lineup_context_available,lineup_quality_warning
823052,2026-06-02,Cardinals,Rangers,100,100,0,True,True,True,True,True,True,A,True,
823053,2026-05-31,Cardinals,Cubs,100,100,0,True,True,True,True,True,True,A,True,
823054,2026-05-30,Cardinals,Cubs,85,85,0,False,False,True,True,True,True,A,True,top3 hitter ids incomplete
823055,2026-05-29,Cardinals,Cubs,0,0,0,False,False,False,False,False,False,D,False,confirmed lineup missing | projected lineup incomplete | top3 hitter ids incomplete | top3 savant incomplete
823121,2026-06-30,Mariners,Angels,100,100,0,True,True,True,True,True,True,A,True,
823122,2026-07-01,Mariners,Angels,100,45,55,True,False,True,True,True,False,C,True,confirmed lineup missing | top3 hitter ids incomplete
823123,2026-06-21,Mariners,Red Sox,100,100,0,True,True,True,True,True,True,A,True,
823124,2026-06-20,Mariners,Red Sox,100,100,0,True,True,True,True,True,True,A,True,
823125,2026-06-18,Mariners,Orioles,100,100,0,True,True,True,True,True,True,A,True,
823126,2026-06-21,Mariners,Red Sox,100,45,55,True,False,True,True,True,False,C,True,confirmed lineup missing | top3 hitter ids incomplete
823127,2026-06-18,Mariners,Orioles,100,45,55,True,False,True,True,True,False,C,True,confirmed lineup missing | top3 hitter ids incomplete
823128,2026-06-17,Mariners,Orioles,100,45,55,True,False,True,True,True,False,C,True,confirmed lineup missing | top3 hitter ids incomplete
823129,2026-06-03,Mariners,Mets,100,100,0,True,True,True,True,True,True,A,True,
823130,2026-06-03,Mariners,Mets,100,100,0,True,True,True,True,True,True,A,True,
823131,2026-06-02,Mariners,Mets,100,100,0,True,True,True,True,True,True,A,True,
823132,2026-05-31,Mariners,D-backs,85,45,40,False,False,True,True,True,False,C,True,confirmed lineup missing | top3 hitter ids incomplete
823133,2026-05-31,Mariners,D-backs,100,100,0,True,True,True,True,True,True,A,True,
823135,2026-05-30,Mariners,D-backs,0,0,0,False,False,False,False,False,False,D,False,confirmed lineup missing | projected lineup incomplete | top3 hitter ids incomplete | top3 savant incomplete
823204,2026-06-28,Giants,Braves,100,100,0,True,True,True,True,True,True,A,True,
823206,2026-06-27,Giants,Braves,45,45,0,False,False,True,True,False,False,C,True,confirmed lineup missing | top3 hitter ids incomplete
823207,2026-06-28,Giants,Braves,100,100,0,True,True,True,True,True,True,A,True,
823208,2026-06-25,Giants,Athletics,100,100,0,True,True,True,True,True,True,A,True,
