timestamp,pipeline_version,training_source,model_type,num_samples,used_feature_count,brier,logloss
2026-06-04T11:53:05.422776,baseline_v2_clean,clean_prediction_snapshots,calibrated_logistic_regression,100,13,0.2432,0.6785
2026-06-04T14:02:27.036626,baseline_v2_clean,clean_prediction_snapshots,calibrated_logistic_regression,100,13,0.2432,0.6785
2026-06-04T14:58:50.109875,baseline_v2_clean,clean_prediction_snapshots,calibrated_logistic_regression,100,13,0.2432,0.6785
2026-06-04T17:48:35.876184,baseline_v2_clean,clean_prediction_snapshots,calibrated_logistic_regression,100,13,0.2432,0.6785
2026-06-04T20:05:03.644118,baseline_v2_clean,clean_prediction_snapshots,calibrated_logistic_regression,102,13,0.2581,0.7096
2026-06-04T22:20:51.590012,baseline_v2_clean,clean_prediction_snapshots,calibrated_logistic_regression,104,13,0.249,0.6912
2026-06-05T00:06:43.535231,baseline_v2_clean,clean_prediction_snapshots,calibrated_logistic_regression,104,13,0.249,0.6912
2026-06-05T00:22:47.001665,baseline_v2_clean,clean_prediction_snapshots,calibrated_logistic_regression,104,13,0.249,0.6912
2026-06-05T00:32:46.329003,baseline_v2_clean,clean_prediction_snapshots,calibrated_logistic_regression,104,13,0.249,0.6912
2026-06-05T01:17:00.030592,baseline_v2_clean,clean_prediction_snapshots,calibrated_logistic_regression,104,13,0.249,0.6912
2026-06-05T01:44:56.761702,baseline_v2_clean,clean_prediction_snapshots,calibrated_logistic_regression,104,13,0.249,0.6912
2026-06-05T02:50:35.849330,baseline_v2_clean,clean_prediction_snapshots,calibrated_logistic_regression,106,13,0.2691,0.7315
2026-06-05T05:16:40.753027,baseline_v2_clean,clean_prediction_snapshots,calibrated_logistic_regression,109,13,0.2942,0.7985
2026-06-05T08:39:17.223243,baseline_v2_clean,clean_prediction_snapshots,calibrated_logistic_regression,109,13,0.2942,0.7985
2026-06-05T09:06:25.045382,baseline_v2_clean,clean_prediction_snapshots,calibrated_logistic_regression,109,13,0.2942,0.7985
2026-06-05T09:24:55.643115,baseline_v2_clean,clean_prediction_snapshots,calibrated_logistic_regression,109,13,0.2942,0.7985
2026-06-05T09:46:49.914516,baseline_v2_clean,clean_prediction_snapshots,calibrated_logistic_regression,109,13,0.2942,0.7985
2026-06-05T12:36:55.796665,baseline_v2_clean,clean_prediction_snapshots,calibrated_logistic_regression,109,13,0.2942,0.7985
