experiment,fold_id,game_id,game_date,home_team,away_team,research_home_prob,outcome
core_only,1,825075,2026-06-06,D-backs,Nationals,0.40273341768415044,0
core_only,1,822807,2026-06-07,Blue Jays,Orioles,0.5743249999918825,1
core_only,1,822890,2026-06-07,Rangers,Guardians,0.32397220559268686,1
core_only,1,823047,2026-06-07,Cardinals,Reds,0.5801175741168525,1
core_only,1,823291,2026-06-07,Padres,Mets,0.3950212598501955,0
core_only,1,823453,2026-06-07,Phillies,White Sox,0.4671254906960162,1
core_only,1,823537,2026-06-07,Yankees,Red Sox,0.5766648968537531,1
core_only,1,823696,2026-06-07,Twins,Royals,0.44544114008562924,0
core_only,1,823857,2026-06-07,Marlins,Rays,0.6582519641395168,1
core_only,1,823941,2026-06-07,Dodgers,Angels,0.7507342785043936,0
core_only,1,824183,2026-06-07,Astros,Athletics,0.5426729093596898,0
core_only,1,824268,2026-06-07,Tigers,Mariners,0.47179741528380437,1
core_only,1,824349,2026-06-07,Rockies,Brewers,0.19220799041518988,0
core_only,1,824670,2026-06-08,Cubs,Giants,0.54506397589498,0
core_only,1,824916,2026-06-07,Braves,Pirates,0.44002777319840736,1
core_only,1,825074,2026-06-07,D-backs,Nationals,0.3516352042619452,1
core_only,1,822806,2026-06-08,Blue Jays,Phillies,0.3586032660616784,0
core_only,1,822972,2026-06-08,Rays,Red Sox,0.32448972772173795,1
core_only,1,823218,2026-06-09,Giants,Nationals,0.4784556295127823,0
core_only,1,823289,2026-06-09,Padres,Reds,0.4580242820374003,1
core_only,1,824025,2026-06-09,Angels,Astros,0.1975360116049509,0
core_only,1,824427,2026-06-08,Guardians,Yankees,0.4807493040794906,0
core_only,1,824829,2026-06-08,Orioles,Mariners,0.4233189639077766,0
core_only,1,824998,2026-06-09,Athletics,Brewers,0.49390767181745043,0
core_only,1,822805,2026-06-09,Blue Jays,Phillies,0.3960021290682334,1
core_only,1,822969,2026-06-09,Rays,Red Sox,0.3640663971863096,1
core_only,1,823214,2026-06-10,Giants,Nationals,0.40427653203771874,0
core_only,1,823290,2026-06-10,Padres,Reds,0.40668754938851376,0
core_only,1,823374,2026-06-09,Pirates,Dodgers,0.5584900793553517,0
core_only,1,823620,2026-06-09,Mets,Cardinals,0.631105416232659,0
core_only,1,823858,2026-06-09,Marlins,D-backs,0.7219301212771174,1
core_only,1,824023,2026-06-10,Angels,Astros,0.2546322173336947,1
core_only,1,824105,2026-06-09,Royals,Rangers,0.395771556514804,1
core_only,1,824267,2026-06-09,Tigers,Twins,0.697264325653766,1
core_only,1,824347,2026-06-10,Rockies,Cubs,0.296216051460177,1
core_only,1,824429,2026-06-09,Guardians,Yankees,0.41575294746579883,0
core_only,1,824591,2026-06-09,White Sox,Braves,0.4667224026549938,1
core_only,1,824830,2026-06-09,Orioles,Mariners,0.34634263386177916,0
core_only,1,824999,2026-06-10,Athletics,Brewers,0.5997494831101209,1
core_only,1,822804,2026-06-10,Blue Jays,Phillies,0.288512806500217,0
core_only,1,822970,2026-06-10,Rays,Red Sox,0.38442680021429615,1
core_only,1,823215,2026-06-10,Giants,Nationals,0.3969455066236699,1
core_only,1,823287,2026-06-10,Padres,Reds,0.5494382795276528,1
core_only,1,823372,2026-06-10,Pirates,Dodgers,0.40354824967895275,1
core_only,1,823618,2026-06-10,Mets,Cardinals,0.641463438455544,0
core_only,1,823856,2026-06-10,Marlins,D-backs,0.587564602363018,1
core_only,1,824022,2026-06-11,Angels,Astros,0.22242620618724473,1
core_only,1,824103,2026-06-10,Royals,Rangers,0.38596766986950776,0
