experiment,fold_id,game_id,game_date,home_team,away_team,research_home_win_probability,outcome
core_only,1,822807,2026-06-07,Blue Jays,Orioles,0.5701037772865823,1
core_only,1,822890,2026-06-07,Rangers,Guardians,0.31942378534714944,1
core_only,1,823047,2026-06-07,Cardinals,Reds,0.5792208861996408,1
core_only,1,823291,2026-06-07,Padres,Mets,0.3791611285938584,0
core_only,1,823453,2026-06-07,Phillies,White Sox,0.4438163598035412,1
core_only,1,823537,2026-06-07,Yankees,Red Sox,0.5734624367954686,1
core_only,1,823696,2026-06-07,Twins,Royals,0.4573888332148564,0
core_only,1,823857,2026-06-07,Marlins,Rays,0.6553203695109633,1
core_only,1,823941,2026-06-07,Dodgers,Angels,0.7596939905436982,0
core_only,1,824183,2026-06-07,Astros,Athletics,0.554233894319656,0
core_only,1,824268,2026-06-07,Tigers,Mariners,0.4826231069755129,1
core_only,1,824349,2026-06-07,Rockies,Brewers,0.1993047883726726,0
core_only,1,824670,2026-06-08,Cubs,Giants,0.553378650102974,0
core_only,1,824916,2026-06-07,Braves,Pirates,0.4248644542499954,1
core_only,1,825074,2026-06-07,D-backs,Nationals,0.33637141376019797,1
core_only,1,822806,2026-06-08,Blue Jays,Phillies,0.36383047986342476,0
core_only,1,822972,2026-06-08,Rays,Red Sox,0.3353331128760248,1
core_only,1,823218,2026-06-09,Giants,Nationals,0.45573813547834124,0
core_only,1,823289,2026-06-09,Padres,Reds,0.45149239616657466,1
core_only,1,824025,2026-06-09,Angels,Astros,0.1979068547743676,0
core_only,1,824427,2026-06-08,Guardians,Yankees,0.4836421826684659,0
core_only,1,824829,2026-06-08,Orioles,Mariners,0.42403428730116427,0
core_only,1,824998,2026-06-09,Athletics,Brewers,0.5026592214767289,0
core_only,1,822805,2026-06-09,Blue Jays,Phillies,0.39681077951818944,1
core_only,1,822969,2026-06-09,Rays,Red Sox,0.3705346543001431,1
core_only,1,823214,2026-06-10,Giants,Nationals,0.3929424999176353,0
core_only,1,823290,2026-06-10,Padres,Reds,0.4064453749380575,0
core_only,1,823374,2026-06-09,Pirates,Dodgers,0.5607933261281892,0
core_only,1,823620,2026-06-09,Mets,Cardinals,0.6323008022378868,0
core_only,1,823858,2026-06-09,Marlins,D-backs,0.7234526234008578,1
core_only,1,824023,2026-06-10,Angels,Astros,0.24368722206232502,1
core_only,1,824105,2026-06-09,Royals,Rangers,0.38501035888465424,1
core_only,1,824267,2026-06-09,Tigers,Twins,0.6960039585290463,1
core_only,1,824347,2026-06-10,Rockies,Cubs,0.29288570885622267,1
core_only,1,824429,2026-06-09,Guardians,Yankees,0.426335345784403,0
core_only,1,824591,2026-06-09,White Sox,Braves,0.47465527999719986,1
core_only,1,824830,2026-06-09,Orioles,Mariners,0.35276880519887466,0
core_only,1,824999,2026-06-10,Athletics,Brewers,0.5956981940881811,1
core_only,1,822804,2026-06-10,Blue Jays,Phillies,0.298890967094077,0
core_only,1,822970,2026-06-10,Rays,Red Sox,0.39045670219557266,1
core_only,1,823215,2026-06-10,Giants,Nationals,0.3821160366110615,1
core_only,1,823287,2026-06-10,Padres,Reds,0.5348640232607703,1
core_only,1,823372,2026-06-10,Pirates,Dodgers,0.4241687468506175,1
core_only,1,823618,2026-06-10,Mets,Cardinals,0.6414002101125232,0
core_only,1,823856,2026-06-10,Marlins,D-backs,0.6092183151976164,1
core_only,1,824022,2026-06-11,Angels,Astros,0.2145100444703388,1
core_only,1,824103,2026-06-10,Royals,Rangers,0.37647573930126677,0
core_only,1,824266,2026-06-10,Tigers,Twins,0.6609185195980388,0
core_only,1,824348,2026-06-11,Rockies,Cubs,0.23384256992918706,1
core_only,1,824428,2026-06-10,Guardians,Yankees,0.4654094580944366,0
core_only,1,824590,2026-06-10,White Sox,Braves,0.5305362224129903,1
core_only,1,824831,2026-06-10,Orioles,Mariners,0.3838257040773433,1
core_only,1,824996,2026-06-11,Athletics,Brewers,0.5534257687020209,1
core_only,1,823371,2026-06-11,Pirates,Dodgers,0.435089060591859,0
core_only,1,823619,2026-06-11,Mets,Cardinals,0.5894117254242571,1
core_only,1,823855,2026-06-11,Marlins,D-backs,0.772137083484183,1
core_only,1,824101,2026-06-11,Royals,Rangers,0.39950976371353336,0
core_only,1,824265,2026-06-11,Tigers,Twins,0.6838355584393342,1
core_only,1,824346,2026-06-11,Rockies,Cubs,0.3319094488156299,0
core_only,1,824827,2026-06-11,Orioles,Mariners,0.38343338655509845,1
core_only,1,822726,2026-06-12,Nationals,Mariners,0.41643799762470207,0
core_only,1,822803,2026-06-12,Blue Jays,Yankees,0.3299519481166207,1
core_only,1,823211,2026-06-13,Giants,Cubs,0.5502581528726314,0
core_only,1,823370,2026-06-12,Pirates,Marlins,0.5421031845587104,0
core_only,1,823617,2026-06-12,Mets,Braves,0.6563254591686325,1
core_only,1,823695,2026-06-13,Twins,Cardinals,0.40519290755120674,1
core_only,1,823778,2026-06-12,Brewers,Phillies,0.3857033536748591,1
core_only,1,824020,2026-06-13,Angels,Rays,0.3840952188292559,1
core_only,1,824102,2026-06-13,Royals,Astros,0.40832171255274247,0
core_only,2,824425,2026-06-12,Guardians,Tigers,0.5108245368750495,1
core_only,2,824507,2026-06-12,Reds,D-backs,0.34965482789954677,0
core_only,2,824588,2026-06-12,White Sox,Dodgers,0.5126565035684443,1
core_only,2,824752,2026-06-12,Red Sox,Rangers,0.44966615259040854,1
core_only,2,824826,2026-06-12,Orioles,Padres,0.6294403143653955,1
core_only,2,824997,2026-06-13,Athletics,Rockies,0.511305200091165,1
core_only,2,822725,2026-06-13,Nationals,Mariners,0.566369272936178,1
core_only,2,822802,2026-06-13,Blue Jays,Yankees,0.36601203880367705,0
core_only,2,823213,2026-06-14,Giants,Cubs,0.4641294150160423,0
core_only,2,823369,2026-06-13,Pirates,Marlins,0.4628341602797624,1
core_only,2,823616,2026-06-13,Mets,Braves,0.655773321973486,0
core_only,2,823694,2026-06-13,Twins,Cardinals,0.48156357716122034,0
core_only,2,823776,2026-06-13,Brewers,Phillies,0.5308133277728094,0
core_only,2,824019,2026-06-14,Angels,Rays,0.5498679659759195,1
core_only,2,824100,2026-06-13,Royals,Astros,0.4985102268249019,0
core_only,2,824426,2026-06-13,Guardians,Tigers,0.3800427162207712,1
core_only,2,824508,2026-06-13,Reds,D-backs,0.3968887688697093,1
core_only,2,824587,2026-06-13,White Sox,Dodgers,0.4823555481734072,0
core_only,2,824749,2026-06-13,Red Sox,Rangers,0.390401354313106,1
core_only,2,824828,2026-06-13,Orioles,Padres,0.5083814529282144,0
core_only,2,824995,2026-06-14,Athletics,Rockies,0.5129644613514261,1
core_only,2,822722,2026-06-14,Nationals,Mariners,0.38060670646140676,1
core_only,2,822801,2026-06-14,Blue Jays,Yankees,0.38677416726328506,0
core_only,2,823212,2026-06-14,Giants,Cubs,0.6194240344274425,1
core_only,2,823368,2026-06-14,Pirates,Marlins,0.5557534237585072,0
core_only,2,823615,2026-06-14,Mets,Braves,0.5947106859002533,1
core_only,2,823693,2026-06-14,Twins,Cardinals,0.46244702711103414,1
core_only,2,823777,2026-06-14,Brewers,Phillies,0.36093291048527404,1
core_only,2,824021,2026-06-14,Angels,Rays,0.5020832602019623,0
core_only,2,824099,2026-06-14,Royals,Astros,0.37483339122875325,1
core_only,2,824506,2026-06-14,Reds,D-backs,0.5359543503467674,0
core_only,2,824586,2026-06-14,White Sox,Dodgers,0.5313913542026362,1
core_only,2,824751,2026-06-14,Red Sox,Rangers,0.43560684072822775,0
core_only,2,824823,2026-06-14,Orioles,Padres,0.4470620386609523,0
core_only,2,824994,2026-06-14,Athletics,Rockies,0.48287144079833666,0
core_only,2,822724,2026-06-15,Nationals,Royals,0.7678573344203121,1
core_only,2,822887,2026-06-16,Rangers,Twins,0.4977353497216195,0
core_only,2,823046,2026-06-15,Cardinals,Padres,0.6173210095520768,1
core_only,2,823452,2026-06-15,Phillies,Marlins,0.6186912306224265,1
core_only,2,823938,2026-06-16,Dodgers,Rays,0.405839972331739,1
core_only,2,824181,2026-06-16,Astros,Tigers,0.44780217124503074,0
core_only,2,824505,2026-06-15,Reds,Mets,0.41472795386670286,1
core_only,2,824666,2026-06-16,Cubs,Rockies,0.5659420744073053,1
core_only,2,824993,2026-06-16,Athletics,Pirates,0.5465325855567514,1
core_only,2,825071,2026-06-16,D-backs,Angels,0.35532829427102625,1
core_only,2,822723,2026-06-16,Nationals,Royals,0.5807657970799791,1
core_only,2,822888,2026-06-17,Rangers,Twins,0.5610782744498126,0
core_only,2,823045,2026-06-16,Cardinals,Padres,0.6035876147216448,1
core_only,2,823128,2026-06-17,Mariners,Orioles,0.5537101141252562,1
core_only,2,823451,2026-06-16,Phillies,Marlins,0.3522327879974282,1
core_only,2,823535,2026-06-16,Yankees,White Sox,0.41226678029497066,1
core_only,2,823775,2026-06-16,Brewers,Guardians,0.29182591411161324,1
core_only,2,823939,2026-06-17,Dodgers,Rays,0.5293799371742651,1
core_only,2,824182,2026-06-17,Astros,Tigers,0.6348389384156357,1
core_only,2,824504,2026-06-16,Reds,Mets,0.48682292658680787,1
core_only,2,824667,2026-06-17,Cubs,Rockies,0.4468463707705725,0
core_only,2,824750,2026-06-16,Red Sox,Blue Jays,0.4465228292532849,0
core_only,2,824912,2026-06-16,Braves,Giants,0.5492265037498644,0
core_only,2,824991,2026-06-17,Athletics,Pirates,0.4316066638226647,0
core_only,2,825070,2026-06-17,D-backs,Angels,0.4128049774722364,0
core_only,2,822721,2026-06-17,Nationals,Royals,0.6126581195802353,0
core_only,2,823044,2026-06-17,Cardinals,Padres,0.6210350767659107,0
core_only,2,823127,2026-06-18,Mariners,Orioles,0.5887645888430524,0
core_only,2,823450,2026-06-17,Phillies,Marlins,0.3648351989467117,0
core_only,2,823536,2026-06-17,Yankees,White Sox,0.46400243185107504,1
core_only,2,823774,2026-06-17,Brewers,Guardians,0.26245334185620306,1
core_only,2,823940,2026-06-17,Dodgers,Rays,0.632668952827177,1
core_only,2,824178,2026-06-17,Astros,Tigers,0.4283912696387463,1
core_only,3,824503,2026-06-17,Reds,Mets,0.362368250520083,0
core_only,3,824668,2026-06-18,Cubs,Rockies,0.3099563772934875,1
core_only,3,824746,2026-06-17,Red Sox,Blue Jays,0.6544717305959777,0
core_only,3,824913,2026-06-17,Braves,Giants,0.5106917912714989,0
core_only,3,824992,2026-06-18,Athletics,Pirates,0.4671939943265405,0
core_only,3,825072,2026-06-17,D-backs,Angels,0.46679405758969683,1
core_only,3,822889,2026-06-18,Rangers,Twins,0.4212653428972019,0
core_only,3,823125,2026-06-18,Mariners,Orioles,0.561342455431494,1
core_only,3,823448,2026-06-18,Phillies,Mets,0.383875472027331,0
core_only,3,823533,2026-06-18,Yankees,White Sox,0.42838490935402107,0
core_only,3,823772,2026-06-18,Brewers,Guardians,0.38608620086275874,0
core_only,3,824098,2026-06-18,Royals,Cardinals,0.4824264645874397,1
core_only,3,824748,2026-06-18,Red Sox,Blue Jays,0.4894264740481209,0
core_only,3,824989,2026-06-19,Athletics,Angels,0.5532494036421151,1
core_only,3,822886,2026-06-20,Rangers,Padres,0.5591050679347206,1
core_only,3,822966,2026-06-19,Rays,Nationals,0.5104802412224623,1
core_only,3,823124,2026-06-20,Mariners,Red Sox,0.6309121887596283,0
core_only,3,823534,2026-06-19,Yankees,Reds,0.5954474119699101,1
core_only,3,823853,2026-06-19,Marlins,Giants,0.5538525697377469,1
core_only,3,823936,2026-06-20,Dodgers,Orioles,0.5811178180131545,1
core_only,3,824097,2026-06-20,Royals,Cardinals,0.4241846914659182,1
core_only,3,824179,2026-06-20,Astros,Guardians,0.406117501430064,1
core_only,3,824264,2026-06-19,Tigers,White Sox,0.5935246448423381,1
core_only,3,824345,2026-06-20,Rockies,Pirates,0.25049706143398276,1
core_only,3,824663,2026-06-19,Cubs,Blue Jays,0.46709986182290464,1
core_only,3,824910,2026-06-19,Braves,Brewers,0.43264744083964596,1
core_only,3,824990,2026-06-20,Athletics,Angels,0.5406723625410392,1
core_only,3,825069,2026-06-20,D-backs,Twins,0.517396264838368,1
core_only,3,822885,2026-06-20,Rangers,Padres,0.5394965784054584,0
core_only,3,822967,2026-06-20,Rays,Nationals,0.4635378281445913,0
core_only,3,823126,2026-06-21,Mariners,Red Sox,0.5890863708699571,0
core_only,3,823447,2026-06-20,Phillies,Mets,0.5047332868367078,1
core_only,3,823532,2026-06-20,Yankees,Reds,0.5028751689911812,0
core_only,3,823854,2026-06-20,Marlins,Giants,0.6324665993809699,1
core_only,3,823937,2026-06-21,Dodgers,Orioles,0.6632592661776435,0
core_only,3,824180,2026-06-20,Astros,Guardians,0.5780675858674823,0
core_only,3,824263,2026-06-20,Tigers,White Sox,0.557753411302709,1
core_only,3,824342,2026-06-21,Rockies,Pirates,0.30195509097546613,1
core_only,3,824665,2026-06-20,Cubs,Blue Jays,0.45862225426041503,0
core_only,3,824909,2026-06-20,Braves,Brewers,0.5038783971839701,1
core_only,3,824988,2026-06-21,Athletics,Angels,0.5810342901522088,0
core_only,3,825068,2026-06-21,D-backs,Twins,0.38506189979656935,0
core_only,3,822883,2026-06-21,Rangers,Padres,0.5452089543159534,1
core_only,3,822968,2026-06-21,Rays,Nationals,0.5351130981359922,1
